MetaOTU	Species	Type	Sample	RelativeAbundance
MS00159	Eubacterium hallii	Newborn	X589	0
MS00159	Eubacterium hallii	Newborn	X590	0
MS00159	Eubacterium hallii	Newborn	X591	0
MS00159	Eubacterium hallii	Newborn	X599	0
MS00159	Eubacterium hallii	Newborn	X608	0
MS00159	Eubacterium hallii	Newborn	X615	0
MS00159	Eubacterium hallii	Newborn	X624	0
MS00159	Eubacterium hallii	Newborn	X633	0.00222381919690895
MS00159	Eubacterium hallii	Newborn	X637	0
MS00159	Eubacterium hallii	Newborn	X78	0
MS00159	Eubacterium hallii	Newborn	X87	0
MS00167;MS00169;MS00168	Faecalibacterium prausnitzii	Newborn	X105	0
MS00167;MS00169;MS00168	Faecalibacterium prausnitzii	Newborn	X10	0.000104515479439144
MS00167;MS00169;MS00168	Faecalibacterium prausnitzii	Newborn	X128	0
MS00167;MS00169;MS00168	Faecalibacterium prausnitzii	Newborn	X12	0
MS00167;MS00169;MS00168	Faecalibacterium prausnitzii	Newborn	X130	0
MS00167;MS00169;MS00168	Faecalibacterium prausnitzii	Newborn	X133	1.1510317227814e-05
MS00167;MS00169;MS00168	Faecalibacterium prausnitzii	Newborn	X137	0
MS00167;MS00169;MS00168	Faecalibacterium prausnitzii	Newborn	X150	0
MS00167;MS00169;MS00168	Faecalibacterium prausnitzii	Newborn	X157	0
MS00167;MS00169;MS00168	Faecalibacterium prausnitzii	Newborn	X172	0
MS00167;MS00169;MS00168	Faecalibacterium prausnitzii	Newborn	X180	0
MS00167;MS00169;MS00168	Faecalibacterium prausnitzii	Newborn	X181	0
MS00167;MS00169;MS00168	Faecalibacterium prausnitzii	Newborn	X184	0
MS00167;MS00169;MS00168	Faecalibacterium prausnitzii	Newborn	X201	0
MS00167;MS00169;MS00168	Faecalibacterium prausnitzii	Newborn	X229	0
MS00167;MS00169;MS00168	Faecalibacterium prausnitzii	Newborn	X238	0
MS00167;MS00169;MS00168	Faecalibacterium prausnitzii	Newborn	X240	0
MS00167;MS00169;MS00168	Faecalibacterium prausnitzii	Newborn	X256	2.87872320220973e-05
MS00167;MS00169;MS00168	Faecalibacterium prausnitzii	Newborn	X258	0
MS00167;MS00169;MS00168	Faecalibacterium prausnitzii	Newborn	X263	0
MS00167;MS00169;MS00168	Faecalibacterium prausnitzii	Newborn	X265	0
MS00167;MS00169;MS00168	Faecalibacterium prausnitzii	Newborn	X268	0
MS00167;MS00169;MS00168	Faecalibacterium prausnitzii	Newborn	X26	0
MS00167;MS00169;MS00168	Faecalibacterium prausnitzii	Newborn	X272	0
MS00167;MS00169;MS00168	Faecalibacterium prausnitzii	Newborn	X274	0
MS00167;MS00169;MS00168	Faecalibacterium prausnitzii	Newborn	X275	0
MS00167;MS00169;MS00168	Faecalibacterium prausnitzii	Newborn	X276	0
MS00167;MS00169;MS00168	Faecalibacterium prausnitzii	Newborn	X281	0
MS00167;MS00169;MS00168	Faecalibacterium prausnitzii	Newborn	X282	0
MS00167;MS00169;MS00168	Faecalibacterium prausnitzii	Newborn	X332	0
MS00167;MS00169;MS00168	Faecalibacterium prausnitzii	Newborn	X335	0
MS00167;MS00169;MS00168	Faecalibacterium prausnitzii	Newborn	X338	0
MS00167;MS00169;MS00168	Faecalibacterium prausnitzii	Newborn	X341	0
MS00167;MS00169;MS00168	Faecalibacterium prausnitzii	Newborn	X343	0
MS00167;MS00169;MS00168	Faecalibacterium prausnitzii	Newborn	X350	0
MS00167;MS00169;MS00168	Faecalibacterium prausnitzii	Newborn	X367	0
MS00167;MS00169;MS00168	Faecalibacterium prausnitzii	Newborn	X377	0
MS00167;MS00169;MS00168	Faecalibacterium prausnitzii	Newborn	X383	0
MS00167;MS00169;MS00168	Faecalibacterium prausnitzii	Newborn	X385	0
MS00167;MS00169;MS00168	Faecalibacterium prausnitzii	Newborn	X397	0
MS00167;MS00169;MS00168	Faecalibacterium prausnitzii	Newborn	X39	0
MS00167;MS00169;MS00168	Faecalibacterium prausnitzii	Newborn	X42	2.46859860998074e-05
